,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id,language,processed_text,words_count
512,ya2hidlu,8b922efc32e8afde38542d35e9941e86c07ca6a0,PMC,Role of glutathione in immunity and inflammation in the lung,10.2147/ijgm.s15618,PMC3048347,21403800,no-cc,"Reactive oxygen species and thiol antioxidants, including glutathione (GSH), regulate innate immunity at various levels. This review outlines the redox-sensitive steps of the cellular mechanisms implicated in inflammation and host defense against infection, and describes how GSH is not only important as an antioxidant but also as a signaling molecule. There is an extensive literature of the role of GSH in immunity. Most reviews are biased by an oversimplified picture where “bad” free radicals cause all sorts of diseases and “good” antioxidants protect from them and prevent oxidative stress. While this may be the case in certain fields (eg, toxicology), the role of thiols (the topic of this review) in immunity certainly requires wearing scientist’s goggles and being prepared to accept a more complex picture. This review aims at describing the role of GSH in the lung in the context of immunity and inflammation. The first part summarizes the history and basic concepts of this picture. The second part focuses on GSH metabolism/levels in pathology, the third on the role of GSH in innate immunity and inflammation, and the fourth gives 4 examples describing the importance of GSH in the response to infections.",2011-01-25,"Ghezzi, Pietro",Int J Gen Med,,,,document_parses/pdf_json/8b922efc32e8afde38542d35e9941e86c07ca6a0.json,document_parses/pmc_json/PMC3048347.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3048347/,,en,reactive oxygen species thiol antioxidant include glutathione gsh regulate innate immunity level review outline redox-sensitive step cellular mechanism implicate inflammation host defense infection describe gsh important antioxidant signal molecule extensive literature role gsh immunity review bias oversimplify picture “ bad ” free radical cause sort disease “ good ” antioxidant protect prevent oxidative stress case certain field eg toxicology role thiol topic review immunity certainly require wear scientist goggle prepare accept complex picture review aim describe role gsh lung context immunity inflammation ﻿1 summarize history basic concept picture 2 focus gsh metabolism/levels pathology 3 role gsh innate immunity inflammation 4 4 example describe importance gsh response infection,107
63092,ef2n6qfi,,Medline,Major histocompatibility complex class I binding predictions as a tool in epitope discovery.,10.1111/j.1365-2567.2010.03300.x,,20518827,unk,"SUMMARY Over the last decade, in silico models of the major histocompatibility complex (MHC) class I pathway have developed significantly. Before, peptide binding could only be reliably modelled for a few major human or mouse histocompatibility molecules; now, high-accuracy predictions are available for any human leucocyte antigen (HLA) -A or -B molecule with known protein sequence. Furthermore, peptide binding to MHC molecules from several non-human primates, mouse strains and other mammals can now be predicted. In this review, a number of different prediction methods are briefly explained, highlighting the most useful and historically important. Selected case stories, where these 'reverse immunology' systems have been used in actual epitope discovery, are briefly reviewed. We conclude that this new generation of epitope discovery systems has become a highly efficient tool for epitope discovery, and recommend that the less accurate prediction systems of the past be abandoned, as these are obsolete.",2010,"Lundegaard, Claus; Lund, Ole; Buus, Søren; Nielsen, Morten",Immunology,,,,,,https://doi.org/10.1111/j.1365-2567.2010.03300.x; https://www.ncbi.nlm.nih.gov/pubmed/20518827/,13396493.0,en,summary decade silico model major histocompatibility complex mhc class pathway develope significantly peptide bind reliably model major human mouse histocompatibility molecule high-accuracy prediction available human leucocyte antigen hla -a -b molecule know protein sequence furthermore peptide bind mhc molecule non-human primate mouse strain mammal predict review numb different prediction method briefly explain highlight useful historically important selected case story reverse immunology system use actual epitope discovery briefly review conclude new generation epitope discovery system highly efficient tool epitope discovery recommend little accurate prediction system past abandon obsolete,87
117607,xf3r4csn,,WHO,ACE2: The key Molecule for Understanding the Pathophysiology of Severe and Critical Conditions of COVID-19: Demon or Angel?,,,,unk,"Recently, the SARS-CoV-2 induced disease COVID-19 has spread all over the world. Nearly 20% of the patients have severe or critical conditions. SARS-CoV-2 exploits ACE2 for host cell entry. ACE2 plays an essential role in the renin-angiotensin-aldosterone system (RAAS), which regulates blood pressure and fluid balance. ACE2 also protects organs from inflammatory injuries and regulates intestinal functions. ACE2 can be shed by two proteases, ADAM17 and TMPRSS2. TMPRSS2-cleaved ACE2 allows SARS-CoV-2 cell entry, whereas ADAM17-cleaved ACE2 offers protection to organs. SARS-CoV-2 infection-caused ACE2 dysfunction worsens COVID-19 and could initiate multi-organ failure. Here, we will explain the role of ACE2 in the pathogenesis of severe and critical conditions of COVID-19 and discuss auspicious strategies for controlling the disease.",2020,"Xiao, Li; Sakagami, Hiroshi; Miwa, Nobuhiko",Viruses,,#133592,,,,,218469547.0,en,recently sars-cov-2 induce disease covid-19 spread world nearly 20 patient severe critical condition sars-cov-2 exploit ace2 host cell entry ace2 play essential role renin-angiotensin-aldosterone system raas regulate blood pressure fluid balance ace2 protect organ inflammatory injury regulate intestinal function ace2 shed protease adam17 tmprss2 tmprss2-cleaved ace2 allow sars-cov-2 cell entry adam17-cleaved ace2 offer protection organ sars-cov-2 infection-caused ace2 dysfunction worsen covid-19 initiate multi-organ failure explain role ace2 pathogenesis severe critical condition covid-19 discuss auspicious strategy control disease,77
125161,ogekldjz,,WHO,"Contributions to the systematic of Pimelodidae (Osteichthyes, Siluriformes): basic and molecular cytogenetics on seven species of Pimelodus from three Brazilian hydrographic systems",,,,unk,"Pimelodidae harbors several species and is widely distributed throughout the Neotropical region. Pimelodus is the genus with the largest number of species, however it is a polyphyletic group. Cytogenetic analyzes of the valid species still covers less than half of them. Herein, seven Pimelodus species from three Brazilian hydrographic systems were analyzed through basic (Giemsa, AgNORs and C banding) and molecular (5S and 18S rDNA-FISH) cytogenetic methods. All species had 2n=56 chromosomes with different karyotype formulas observed among the species. AgNORs were corresponding to 18S rDNA and localized on long arm of one chromosome pair in all species. Heterochromatin distribution follows the pattern commonly verified in the family and allows to identify each one of the studied species. 5S rDNA marker was interspecifically variable in number and position of cistrons. Pimelodus ortmanni had B chromosomes varying intra and inter-individually. We performed a discussion on our own and available cytogenetic data for Pimelodidae, and the associating of them with available phylogeny enable us identifying features that distinguish subgroups within Pimelodidae, such as NORs location (terminal/long arm for species belonging to ""Iheringichthys-Parapimelodus"" and ""Pimelodus maculatus"" subclades) and location of 5S rDNA sites (pericentromeric/interstitial/ long arm for species belonging to Pimelodus group).(AU)",2018,"Girardi, Simone C; Pavanelli, Carla S; Margarido, Vladimir P",Neotrop. ichthyol,,#19941,,,,,90123947.0,en,pimelodidae harbor species widely distribute neotropical region pimelodus genus large numb species polyphyletic group cytogenetic analyze valid species cover little half seven pimelodus species brazilian hydrographic system analyze basic giemsa agnors c band molecular 5s 18s rdna-fish cytogenetic method species 2n=56 chromosome different karyotype formula observe species agnors correspond 18s rdna localize long arm chromosome pair species heterochromatin distribution follow pattern commonly verify family allow identify study species 5s rdna marker interspecifically variable numb position cistrons pimelodus ortmanni b chromosome vary intra inter-individually perform discussion available cytogenetic datum pimelodidae associate available phylogeny enable identify feature distinguish subgroup pimelodidae nors location terminal/long arm species belong iheringichthys-parapimelodus pimelodus maculatus subclades location 5s rdna site pericentromeric/interstitial/ long arm species belong pimelodus group).(au,119
150744,b68y9hxw,eefddcf51f8426ecaa9e3ace144dadfb34a74cf5,Medline; PMC,"New Isoxazolidine-Conjugates of Quinazolinones—Synthesis, Antiviral and Cytostatic Activity",10.3390/molecules21070959,PMC6273226,27455228,cc-by,"A novel series of (3-diethoxyphosphoryl)isoxazolidines substituted at C5 with various quinazolinones have been synthesized by the 1,3-dipolar cycloaddition of N-methyl-C-(diethoxyphosphoryl)nitrone with N3-substitued 2-vinyl-3H-quinazolin-4-ones. All isoxazolidines were assessed for antiviral activity against a broad range of DNA and RNA viruses. Isoxazolidines trans-11f/cis-11f (90:10), trans-11h and trans-11i/cis-11i (97:3) showed weak activity (EC(50) = 6.84, 15.29 and 9.44 μM) toward VZV (TK(+) strain) which was only one order of magnitude lower than that of acyclovir used as a reference drug. Phosphonates trans-11b/cis-11b (90:10), trans-11c, trans-11e/cis-11e (90:10) and trans-11g appeared slightly active toward cytomegalovirus (EC(50) = 27–45 μM). Compounds containing benzyl substituents at N3 in the quinazolinone skeleton exhibited slight antiproliferative activity towards the tested immortalized cells with IC(50) in the 21–102 μM range.",2016-07-22,"Piotrowska, Dorota G.; Andrei, Graciela; Schols, Dominique; Snoeck, Robert; Grabkowska-Drużyc, Magdalena",Molecules,,,,document_parses/pdf_json/eefddcf51f8426ecaa9e3ace144dadfb34a74cf5.json,document_parses/pmc_json/PMC6273226.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/27455228/; https://doi.org/10.3390/molecules21070959,14067719.0,en,"novel series (3-diethoxyphosphoryl)isoxazolidines substitute c5 quinazolinones synthesize 1,3-dipolar cycloaddition n-methyl-c-(diethoxyphosphoryl)nitrone n3-substitued 2-vinyl-3h-quinazolin-4-ones isoxazolidines assess antiviral activity broad range dna rna virus isoxazolidines trans-11f/cis-11f 90:10 trans-11h trans-11i/cis-11i 97:3 weak activity ec(50 6.84 15.29 9.44 μm vzv tk(+ strain order magnitude low acyclovir use reference drug phosphonates trans-11b/cis-11b 90:10 trans-11c trans-11e/cis-11e 90:10 trans-11 g appear slightly active cytomegalovirus ec(50 27–45 μm compounds contain benzyl substituent n3 quinazolinone skeleton exhibit slight antiproliferative activity test immortalize cell ic(50 21–102 μm range",77
55927,zpoeogbo,,Medline,Recombinant complement receptor 2 radiolabeled with [99mTc(CO)3]+: a potential new radiopharmaceutical for imaging activated complement.,10.1371/journal.pone.0018275,,21494666,unk,"We describe the design and synthesis of a new Tc-99m labeled bioconjugate for imaging activated complement, based on Short Consensus Repeats 1 and 2 of Complement Receptor 2 (CR2), the binding domain for C3d. To avoid non specific modification of CR2 and the potential for modifying lysine residues critical to the CR2/C3d contact surface, we engineered a new protein, recombinant CR2 (rCR2), to include the C-terminal sequence VFPLECHHHHHH, a hexahistidine tag (for site-specific radiolabeling with [(99m)Tc(CO)(3)(OH(2))(3)](+)). The protein was characterized by N-terminal sequencing, SDS-PAGE and size exclusion chromatography. To test the function of the recombinant CR2, binding to C3d was confirmed by enzyme-linked immunosorbent assay (ELISA). The function was further confirmed by binding of rCR2 to C3d(+) red blood cells (RBC) which were generated by deposition of human or rat C3d and analyzed by fluorescence microscopy and flow cytometry. The affinity of rCR2 for C3d(+), in presence of 150 mM NaCl, was measured using surface plasma resonance giving rise to a K(D)≈500 nM. Radiolabeling of rCR2 or an inactive mutant of rCR2 (K41E CR2) or an unrelated protein of a similar size (C2A) with [(99m)Tc(CO)(3)(OH(2))(3)](+) at gave radiochemical yields >95%. Site-specifically radiolabeled rCR2 bound to C3d to C3d(+) RBC. Binding of radiolabeled rCR2 to C3d was inhibited by anti-C3d and the radiolabeled inactive mutant K41E CR2 and C2A did not bind to C3d(+) RBCs. We conclude that rCR2-Tc(99m) has excellent radiolabeling, stability and C3d binding characteristics and warrants in vivo evaluation as an activated complement imaging agent.",2011,"Badar, Adam; DeFreitas, Sarah; McDonnell, James M; Yahya, Norhakim; Thakor, David; Razavi, Reza; Smith, Richard; Sacks, Steven; Mullen, Gregory E D",PloS one,,,,,,https://doi.org/10.1371/journal.pone.0018275; https://www.ncbi.nlm.nih.gov/pubmed/21494666/,8833867.0,en,describe design synthesis new tc-99 label bioconjugate image activate complement base short consensus repeats 1 2 complement receptor 2 cr2 bind domain c3d avoid non specific modification cr2 potential modify lysine residue critical cr2/c3d contact surface engineer new protein recombinant cr2 rcr2 include c-terminal sequence vfplechhhhhh hexahistidine tag site-specific radiolabeling [(99m)tc(co)(3)(oh(2))(3)](+ protein characterize n-terminal sequence sds-page size exclusion chromatography test function recombinant cr2 bind c3d confirm enzyme-linked immunosorbent assay elisa function far confirm bind rcr2 c3d(+ red blood cell rbc generate deposition human rat c3d analyze fluorescence microscopy flow cytometry affinity rcr2 c3d(+ presence 150 mm nacl measure use surface plasma resonance rise k(d)≈500 nm. radiolabeling rcr2 inactive mutant rcr2 k41e cr2 unrelated protein similar size c2a [(99m)tc(co)(3)(oh(2))(3)](+ radiochemical yield 95 site-specifically radiolabeled rcr2 bind c3d c3d(+ rbc binding radiolabeled rcr2 c3d inhibit anti-c3d radiolabeled inactive mutant k41e cr2 c2a bind c3d(+ rbcs conclude rcr2-tc(99 excellent radiolabeling stability c3d bind characteristic warrant vivo evaluation activate complement image agent,158
82048,sk4eucsd,,Medline,Self-state of nurses in caring for SARS survivors.,,,17334167,unk,The aim of this study was to analyze nurses' experiences of role strain when taking care of patients with severe acute respiratory syndrome (SARS). We adopted an interpretive/ constructivist paradigm. Twenty-one nurses who had taken care of SARS patients were interviewed in focus groups. The data were analyzed using thematic analysis. The self-state of nurses during the SARS outbreak evolved into that of professional self as: (1) self-preservation; (2) self-mirroring; and (3) self-transcendence. The relationship between self-state and reflective practice is discussed.,2007,"Chiang, Hsien-Hsien; Chen, Mei-Bih; Sue, I-Ling",Nursing ethics,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/17334167/,24168867.0,en,aim study analyze nurse experience role strain care patient severe acute respiratory syndrome sars adopt interpretive/ constructivist paradigm twenty-one nurse care sars patient interview focus group datum analyze use thematic analysis self-state nurse sars outbreak evolve professional self 1 self-preservation 2 self-mirroring 3 self-transcendence relationship self-state reflective practice discuss,49
70475,29jafdti,,WHO,"Unveiling ‘Warp Speed,’ the White House’s America-first push for a coronavirus vaccine",10.1126/science.abc7056,,,unk,"Conventional wisdom is that a vaccine for COVID-19 is at least 1 year away, but the organizers of a U S government push called Operation Warp Speed have little use for conventional wisdom The project, vaguely described to date but likely to be formally announced by the White House in the coming days, will pick a diverse set of vaccine candidates and pour essentially limitless resources into unprecedented comparative studies in animals, fast-tracked human trials, and manufacturing Eschewing international cooperation—and any vaccine candidates from China—it hopes to have 300 million doses by January 2021 of a proven product, reserved for Americans",2020,"Cohen, Jon",Science,,#244495,,,,https://doi.org/10.1126/science.abc7056,219432336.0,en,conventional wisdom vaccine covid-19 little 1 year away organizer u s government push operation warp speed little use conventional wisdom project vague describe date likely formally announce white house come day pick diverse set vaccine candidate pour essentially limitless resource unprecedented comparative study animal fast-tracked human trial manufacture eschewing international cooperation — vaccine candidate china — hope 300 million dose january 2021 prove product reserve american,66
32049,gauchafj,,Medline,A thromboembolic model for the efficacy and safety evaluation of combined mechanical and pharmacologic revascularization strategies.,10.1136/neurintsurg-2012-010435,,22962414,unk,"BACKGROUND AND PURPOSE Recanalization strategies mediated by intra-arterial fibrinolytic therapy in combination with mechanical clot disruption may be a more effective treatment approach than either therapy used alone. There are few preclinical animal models to evaluate these strategies. Here we report on a model to simultaneously evaluate both of these treatment approaches. METHODS Allogeneic clot was injected through the 6 F guide catheter after creating >50% luminal stenosis of the common carotid arteries of New Zealand White rabbits. The stenosis was released after 1 h, allowing sufficient time for clot-vessel wall interaction. Occlusion was confirmed and each vessel was assigned to receive either balloon angioplasty alone, intra-arterial tissue plasminogen activator (tPA, Alteplase, Genentech, San Francisco, California, USA), tPA delivery through prototype balloon infusion wire (NIT Therapeutics, Pittsburgh, Pennsylvania, USA), partial stent deployment or partial stent deployment with locally delivered tPA. The negative control received no treatment. RESULTS In vivo revascularization Thrombolysis in Cerebral Infarction (TICI) score revealed that the balloon infusion wire achieved a stable and higher revascularization score of TICI 2B, with a lower dose of tPA in comparison with other treatment strategies. All treatment strategies resulted in endothelial denudation and exposure of the internal elastic lamina. CONCLUSIONS The proposed animal model permits reliable and consistent thromboembolic occlusion of the target vasculature and allows for an assessment of both pharmacologic and mechanical revascularization strategies for acute ischemic stroke.",2013,"Gounis, Matthew J; Nogueira, Raul G; Mehra, Manik; Chueh, Juyu; Wakhloo, Ajay K",Journal of neurointerventional surgery,,,,,,https://doi.org/10.1136/neurintsurg-2012-010435; https://www.ncbi.nlm.nih.gov/pubmed/22962414/,6273343.0,en,background purpose recanalization strategy mediate intra-arterial fibrinolytic therapy combination mechanical clot disruption effective treatment approach therapy use preclinical animal model evaluate strategy report model simultaneously evaluate treatment approach methods allogeneic clot inject 6 f guide catheter create 50 luminal stenosis common carotid artery new zealand white rabbit stenosis release 1 h allow sufficient time clot-vessel wall interaction occlusion confirm vessel assign receive balloon angioplasty intra-arterial tissue plasminogen activator tpa alteplase genentech san francisco california usa tpa delivery prototype balloon infusion wire nit therapeutics pittsburgh pennsylvania usa partial stent deployment partial stent deployment locally deliver tpa negative control receive treatment results vivo revascularization thrombolysis cerebral infarction tici score reveal balloon infusion wire achieve stable high revascularization score tici 2b low dose tpa comparison treatment strategy treatment strategy result endothelial denudation exposure internal elastic lamina conclusions propose animal model permit reliable consistent thromboembolic occlusion target vasculature allow assessment pharmacologic mechanical revascularization strategy acute ischemic stroke,153
165954,cq1sxqlj,304c5541efdc8374c98176e1e9e8f0999ef75baf,Medline; PMC,"Estimating Variability in the Transmission of Severe Acute Respiratory Syndrome to Household Contacts in Hong Kong, China",10.1093/aje/kwm082,PMC7110150,17493952,no-cc,"The extensive data collection and contact tracing that occurred during the 2003 outbreak of severe acute respiratory syndrome (SARS) in Hong Kong, China, allowed the authors to examine how the probability of transmission varied from the date of symptom onset to the date of hospitalization for household contacts of SARS patients. Using a discrete-time likelihood model, the authors estimated the transmission probability per contact for each day following the onset of symptoms. The results suggested that there may be two peaks in the probability of SARS transmission, the first occurring around day 2 after symptom onset and the second occurring approximately 10 days after symptom onset. Index patients who were aged 60 years or older or whose lactate dehydrogenase level was elevated upon admission to the hospital (indicating higher viral loads) were more likely to transmit SARS to their contacts. There was little variation in the daily transmission probabilities before versus after the introduction of public health interventions on or around March 26, 2003. This study suggests that the probability of transmission of SARS is dependent upon characteristics of the index patients and does not simply reflect temporal variability in the viral load of SARS cases.",2007-08-01,"Pitzer, Virginia E.; Leung, Gabriel M.; Lipsitch, Marc",Am J Epidemiol,,,,document_parses/pdf_json/304c5541efdc8374c98176e1e9e8f0999ef75baf.json,document_parses/pmc_json/PMC7110150.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/17493952/,18095312.0,en,extensive datum collection contact trace occur 2003 outbreak severe acute respiratory syndrome sars hong kong china allow examine probability transmission vary date symptom onset date hospitalization household contact sars patient discrete-time likelihood model estimate transmission probability contact day follow onset symptom result suggest peak probability sars transmission ﻿1 occur day 2 symptom onset 2 occur approximately 10 day symptom onset index patient age 60 year old lactate dehydrogenase level elevate admission hospital indicate high viral load likely transmit sars contact little variation daily transmission probability versus introduction public health intervention march 26 2003 study suggest probability transmission sars dependent characteristic index patient doe simply reflect temporal variability viral load sars case,111
178062,vuuxthx2,6c6e553d90d4291bdaa9329060b93d6733afa280,Medline; PMC,Obesity as a Potential Predictor of Disease Severity in Young COVID‐19 Patients: A Retrospective Study,10.1002/oby.22943,PMC7361308,32602202,no-cc,"OBJECTIVE: To explore the indicators for severity in young COVID‐19 patients age between 18 to 40. METHODS: This retrospective cohort study includes 65 consecutively admitted COVID‐19 patients age between 18 to 40 in Zhongnan Hospital of Wuhan University. Among them, 53 were moderate cases, 12 were severe or critical cases. Epidemiological, clinical and laboratory characteristics and treatment data were collected. A multivariate logistic regression analysis was implemented to explore risk factors. RESULTS: The severe/critical cases have obviously higher BMI (average 29.23 vs. 22.79kg/m(2)) and lower liver CT value (average 50.00 vs. 65.00mU) than moderate cases group. The severe/critical cases have higher fasting glucose, alanine aminotransferase (ALT) , aspartate aminotransferase (AST) , and creatinine (Cr) compared with moderate cases (All P<0.01) . More severe/critical cases (58.33% vs. 1.92%) have positive urine protein. The severe/critical cases will experience a significant process of serum albumin decline. Logistic regression analysis showed that male, high body mass index (especially obesity), elevated fasting blood glucose and urinary protein positive are all risk factors for severe young COVID‐19 patients. CONCLUSION: Obesity is an important predictor of severity in young COVID‐19 patients. The main mechanism is related to the damage of liver and kidney.",2020-06-29,"Deng, Ming; Qi, Yongjian; Deng, Liping; Wang, Huawei; Xu, Yancheng; Li, Zhen; Meng, Zhe; Tang, Jun; Dai, Zhe",Obesity (Silver Spring),,,,document_parses/pdf_json/6c6e553d90d4291bdaa9329060b93d6733afa280.json,,https://www.ncbi.nlm.nih.gov/pubmed/32602202/; https://doi.org/10.1002/oby.22943,220271227.0,en,explore indicator severity young covid‐19 patient age 18 40 methods retrospective cohort study include 65 consecutively admit covid‐19 patient age 18 40 zhongnan hospital wuhan university 53 moderate case 12 severe critical case epidemiological clinical laboratory characteristic treatment datum collect multivariate logistic regression analysis implement explore risk factor results severe/critical case obviously high bmi average 29.23 vs. 22.79kg/m(2 low live ct value average 50.00 vs. 65.00mu moderate case group severe/critical case high fast glucose alanine aminotransferase alt aspartate aminotransferase ast creatinine cr compare moderate case p<0.01 severe/critical case 58.33 vs. 1.92 positive urine protein severe/critical case experience significant process serum albumin decline logistic regression analysis male high body mass index especially obesity elevate fast blood glucose urinary protein positive risk factor severe young covid‐19 patient conclusion obesity important predictor severity young covid‐19 patient main mechanism relate damage live kidney,139
48814,ahgcbvoz,,Medline,Diaphragmatic and pericardial reconstruction after surgery for malignant pleural mesothelioma.,10.21037/jtd.2018.01.44,,29507799,unk,"Extrapleural pneumonectomy (EPP) and pleurectomy-decortication (P/D) are both recognised surgical procedures for selected cases affected by malignant pleural mesothelioma (MPM). Surgical techniques have ameliorated over the last years, remaining the complete macroscopic resection of the disease the main surgical principle. EPP is defined as an en-bloc resection of the visceral pleura, parietal pleura, pericardium and diaphragm alongside the pneumonectomy. The thoracic domain of the International Association for Study of Lung Cancer (IASLC) recently clarified the, previously confused, surgical terminology. ""Extended P/D"" is considered as parietal and visceral pleurectomy, diaphragmatic and pericardial resection with the purpose to remove all macroscopic disease. The term ""radical"" was replaced by ""extended"" to underline that this procedure does not have oncologic radicality aims. Both operations above are technically challenging and associated with a significant rate of peri-operative morbidity and non-negligible mortality. The diaphragmatic and pericardial reconstruction technique is mandatory to avoid respiratory impairment and to reduce post-operative complications like gastric and cardiac herniation. The technical aspects of resection and reconstruction are described and the choice of different prosthetic materials, considering the most recent innovations in the field, are discussed.",2018,"Solli, Piergiorgio; Brandolini, Jury; Pardolesi, Alessandro; Nardini, Marco; Lacava, Nicola; Parri, Sergio Forti; Kawamukai, Kenji; Bonfanti, Barbara; Bertolaccini, Luca",Journal of thoracic disease,,,,,,https://doi.org/10.21037/jtd.2018.01.44; https://www.ncbi.nlm.nih.gov/pubmed/29507799/,3760687.0,en,extrapleural pneumonectomy epp pleurectomy-decortication p/d recognise surgical procedure select case affect malignant pleural mesothelioma mpm surgical technique ameliorate year remain complete macroscopic resection disease main surgical principle epp define en-bloc resection visceral pleura parietal pleura pericardium diaphragm alongside pneumonectomy thoracic domain international association study lung cancer iaslc recently clarify previously confuse surgical terminology extended p/d consider parietal visceral pleurectomy diaphragmatic pericardial resection purpose remove macroscopic disease term radical replace extend underline procedure doe oncologic radicality aim operation technically challenge associate significant rate peri-operative morbidity non-negligible mortality diaphragmatic pericardial reconstruction technique mandatory avoid respiratory impairment reduce post-operative complication like gastric cardiac herniation technical aspect resection reconstruction describe choice different prosthetic material consider recent innovation field discuss,115
68867,z801l4mp,,Medline,Systematic review and meta-analysis of second-generation antidepressants for the treatment of older adults with depression: questionable benefit and considerations for frailty.,10.1186/s12877-019-1327-4,,31718566,unk,"BACKGROUND Frail older adults are commonly prescribed antidepressants. Yet, there is little evidence to determine the efficacy and safety of antidepressants to treat depression with concomitant frailty. To better understand this issue, we examined the efficacy and safety of second-generation antidepressants for the treatment of older adults with depression and then considered implications for frailty. METHODS Due to the absence of therapeutic studies of frail older adults with depression, we conducted a systematic review and meta-analysis of double-blind, randomized controlled trials that compared antidepressants versus placebo for adults with depression, age 65 years or older. We searched PubMed/MEDLINE, Cochrane Library, reference lists from meta-analyses/studies, hand searches of publication lists, and related articles on PubMed. Outcomes included rates of response, remission, and adverse events. After evaluating the data, we applied a frailty-informed framework to consider how the evidence could be applied to frailty. RESULTS Nine trials were included in the meta-analysis (n = 2704). Subjects had moderate to severe depression. For older adults with depression, there was no statistically significant difference in response or remission to second-generation antidepressants compared to placebo. Response occurred in 45.3% of subjects receiving an antidepressant compared to 40.5% receiving placebo (RR 1.15, 95% CI: 0.96 - 1.37, p = 0.12, I2 = 71%). Remission occurred in 33.1% with antidepressant versus 31.3% with placebo (RR 1.10, 95% CI: 0.92 - 1.31, p = 0.30, I2 = 56%) (Figure 2 and 3). There were more withdrawals due to adverse events with antidepressants, 13% versus 5.8% (RR 2.30, 95% CI: 1.45-3.63; p < 0.001; I2 = 61%; NNH 14, 95% CI:10-28). IMPLICATIONS FOR FRAILTY Subjects in the meta-analysis did not have obvious characteristics of frailty. Using framework questions to consider the implications of frailty, we hypothesize that, like older adults, frail individuals with depression may not respond to antidepressants. Further, observational studies suggest that those who are frail may be less responsive to antidepressants compared to the non-frail. Given the vulnerability of frailty, adverse events may be more burdensome. CONCLUSIONS Second-generation antidepressants have uncertain benefit for older adults with depression and cause more adverse events compared to placebo. Until further research clarifies benefit, careful consideration of antidepressant prescribing with frailty is warranted.",2019-11-12,"Mallery, Laurie; MacLeod, Tanya; Allen, Michael; McLean-Veysey, Pamela; Rodney-Cail, Natasha; Bezanson, Evan; Steeves, Brian; LeBlanc, Constance; Moorhouse, Paige",BMC geriatrics,,,,,,https://doi.org/10.1186/s12877-019-1327-4; https://www.ncbi.nlm.nih.gov/pubmed/31718566/,207958895.0,en,background frail old adult commonly prescribe antidepressant little evidence determine efficacy safety antidepressant treat depression concomitant frailty understand issue examine efficacy safety second-generation antidepressant treatment old adult depression consider implication frailty methods absence therapeutic study frail old adult depression conduct systematic review meta-analysis double-blind randomize control trial compare antidepressant versus placebo adult depression age 65 year old search pubmed/medline cochrane library reference list meta-analyses/studies hand search publication list relate article pubmed outcomes include rate response remission adverse event evaluate datum apply frailty-informed framework consider evidence apply frailty results trial include meta-analysis n 2704 subjects moderate severe depression old adult depression statistically significant difference response remission second-generation antidepressant compare placebo response occur 45.3 subject receive antidepressant compare 40.5 receive placebo rr 1.15 95 ci 0.96 1.37 p 0.12 i2 71 remission occur 33.1 antidepressant versus 31.3 placebo rr 1.10 95 ci 0.92 1.31 p 0.30 i2 56 2 3 withdrawal adverse event antidepressant 13 versus 5.8 rr 2.30 95 ci 1.45 3.63 p 0.001 i2 61 nnh 14 95 ci:10 28 implications frailty subjects meta-analysis obvious characteristic frailty framework question consider implication frailty hypothesize like old adult frail individual depression respond antidepressant observational study suggest frail little responsive antidepressant compare non-frail given vulnerability frailty adverse event burdensome conclusions second-generation antidepressant uncertain benefit old adult depression cause adverse event compare placebo far research clarify benefit careful consideration antidepressant prescribe frailty warrant,229
